Temperature (K);Pressure (MPa);Density (kg/m3);Volume (m3/kg);Internal Energy (kJ/kg);Enthalpy (kJ/kg);Entropy (J/g*K);Cv (J/g*K);Cp (J/g*K);Sound Spd. (m/s);Joule-Thomson (K/MPa);Viscosity (Pa*s);Therm. Cond. (W/m*K);Phase
235.250000000;8.00000000000;1127.32669171;0.000887054309417;111.161873300;118.258307775;0.661880621935;0.957543638139;1.95053344601;889.425087650;-0.102061756541;0.000199695230745;0.160676481436;liquid
235.300000000;8.00000000000;1127.14083391;0.000887200578590;111.258233986;118.355838615;0.662295161688;0.957481299315;1.95070021280;889.085781372;-0.101830453776;0.000199539669286;0.160617629809;liquid
235.350000000;8.00000000000;1126.95492012;0.000887346940097;111.354602282;118.453377802;0.662709648833;0.957419004615;1.95086734143;888.746456119;-0.101598818672;0.000199384243456;0.160558782832;liquid
235.400000000;8.00000000000;1126.76895027;0.000887493394066;111.450978203;118.550925355;0.663124083472;0.957356754062;1.95103483241;888.407111774;-0.101366850674;0.000199228953098;0.160499940496;liquid
235.450000000;8.00000000000;1126.58292426;0.000887639940623;111.547361767;118.648481292;0.663538465703;0.957294547682;1.95120268627;888.067748224;-0.101134549227;0.000199073798052;0.160441102792;liquid
235.500000000;8.00000000000;1126.39684204;0.000887786579896;111.643752991;118.746045630;0.663952795625;0.957232385498;1.95137090350;887.728365351;-0.100901913773;0.000198918778159;0.160382269713;liquid
235.550000000;8.00000000000;1126.21070352;0.000887933312012;111.740151892;118.843618388;0.664367073338;0.957170267535;1.95153948464;887.388963042;-0.100668943754;0.000198763893263;0.160323441249;liquid
235.600000000;8.00000000000;1126.02450863;0.000888080137100;111.836558488;118.941199585;0.664781298942;0.957108193817;1.95170843020;887.049541181;-0.100435638611;0.000198609143204;0.160264617393;liquid
235.650000000;8.00000000000;1125.83825729;0.000888227055287;111.932972795;119.038789237;0.665195472535;0.957046164370;1.95187774069;886.710099652;-0.100201997784;0.000198454527825;0.160205798136;liquid
235.700000000;8.00000000000;1125.65194942;0.000888374066702;112.029394831;119.136387365;0.665609594218;0.956984179217;1.95204741665;886.370638339;-0.0999680207089;0.000198300046968;0.160146983470;liquid
235.750000000;8.00000000000;1125.46558496;0.000888521171473;112.125824613;119.233993985;0.666023664090;0.956922238384;1.95221745859;886.031157128;-0.0997337068235;0.000198145700475;0.160088173385;liquid
235.800000000;8.00000000000;1125.27916382;0.000888668369730;112.222262159;119.331609117;0.666437682251;0.956860341895;1.95238786703;885.691655901;-0.0994990555624;0.000197991488190;0.160029367874;liquid
235.850000000;8.00000000000;1125.09268592;0.000888815661601;112.318707485;119.429232778;0.666851648800;0.956798489774;1.95255864250;885.352134543;-0.0992640663594;0.000197837409955;0.159970566929;liquid
