----------------------------------------------------------------------------------------------------
    DNS Case: k/delta = 1/12, Re_b = 5925 , Ri_b = 0.25 (Stratification)
----------------------------------------------------------------------------------------------------

    Flow Properties
        T_wall_bottom        =  297.8
        T_wall_top           =  317.8
        Ret_bottom           =  147.80767267122613
        Ret_top              =  168.52241710261606
        u_tau_bottom         =  0.02579500596640569
        u_tau_top            =  0.028882982209085816
        friction_T_bottom    =  0.18995028580592438
        friction_T_top       =  0.5863377494447718
        Nu_bottom            =  21.34731962151209
        Nu_top               =  14.44050797066285
        Cf_bottom            =  0.009776939585303063
        Cf_top               =  0.003814820373350461

----------------------------------------------------------------------------------------------------
rans(H)                 y/Ly                    fraction_fluid(y)
----------------------------------------------------------------------------------------------------
0.0                     -0.0815637863945893     0.0
0.0                     -0.08053782681729889    0.0
0.0                     -0.07951186724000844    0.0
0.0                     -0.07848590766271801    0.0
0.0                     -0.0774599480854276     0.0
0.0                     -0.07643398850813715    0.0
0.0                     -0.07540802893084671    0.0
0.0                     -0.07438206935355629    0.0
0.0                     -0.07335610977626586    0.0
0.0                     -0.07233015019897539    0.0
0.0                     -0.071304190621685      0.0
0.0                     -0.07027823104439458    0.0
0.0                     -0.06925227146710415    0.0
0.0                     -0.0682263118898137     0.0
0.0                     -0.06720035231252325    0.0
0.0                     -0.06617439273523279    0.0
0.0                     -0.06514843315794241    0.0
0.0                     -0.064122473580652      0.0
0.0                     -0.06309651400336155    0.0
0.0                     -0.06207055442607109    0.0
0.0                     -0.0610445948487807     0.0
0.0                     -0.06001863527149025    0.0
0.0                     -0.058992675694199796   0.0
0.0                     -0.05796671611690939    0.0
0.0                     -0.05694075653961895    0.0
0.0                     -0.0559147969623285     0.0
0.0                     -0.0548888373850381     0.0
0.0                     -0.05386287780774765    0.0
0.0                     -0.0528369182304572     0.0
0.0                     -0.051810958653166796   0.0
0.0                     -0.05078499907587635    0.0
0.0                     -0.0497590394985859     0.0
0.0                     -0.048733079921295504   0.0
0.0                     -0.0477071203440051     0.0
0.0                     -0.04668116076671465    0.0
0.0                     -0.0456552011894242     0.0
0.0                     -0.044629241612133795   0.0
0.0                     -0.04360328203484335    0.0
0.0                     -0.0425773224575529     0.0
0.0                     -0.0415513628802625     0.0
0.0                     -0.04052540330297206    0.0
261825.7798130829       -0.0394994437256816     5.739795918367347e-05
261839.5712614381       -0.0384734841483912     0.0003316326530612245
261855.8384321192       -0.03744752457110075    0.000625
261874.1561165722       -0.036421564993810294   0.0009438775510204082
261891.5949515154       -0.0353956054165199     0.001339285714285714
261913.1256418926       -0.03436964583922945    0.001817602040816326
261938.6650985605       -0.033343686261939      0.002346938775510204
261969.3633838968       -0.0323177266846486     0.002889030612244898
262004.2498364378       -0.03129176710735815    0.003520408163265306
262029.9353014549       -0.030265807530067697   0.004534438775510204
262069.3316837638       -0.029239847952777297   0.005491071428571428
262115.0593012958       -0.028213888375486898   0.006498724489795918
262155.8902074662       -0.02718792879819645    0.007818877551020408
262204.3259181351       -0.026161969220906      0.009215561224489795
262247.5193485569       -0.0251360096436156     0.01099489795918367
262299.2513097851       -0.02411005006632515    0.01286989795918367
262355.9412502179       -0.0230840904890347     0.01491071428571429
262411.4140404464       -0.0220581309117443     0.01729591836734694
262474.6588601478       -0.021032171334453852   0.01978954081632653
262539.4814374201       -0.0200062117571634     0.02255739795918367
262569.9142369418       -0.018980252179872998   0.02698341836734694
262597.6145692029       -0.01795429260258255    0.03255102040816327
262621.6779651474       -0.016928333025292102   0.0397640306122449
262659.9525467945       -0.0159023734480017     0.04795918367346939
262700.5582623762       -0.01487641387071125    0.05778061224489796
262745.3078159178       -0.0138504542934208     0.06947066326530613
262801.0775589365       -0.012824494716130399   0.08264030612244898
262870.5916236264       -0.01179853513883995    0.09696428571428571
262941.1350314132       -0.0107725755615495     0.113609693877551
263012.7978442982       -0.0097466159842591     0.133233418367347
263101.091103454        -0.0087206564069687     0.1542283163265306
263208.1748621533       -0.00769469682967825    0.1760522959183674
263318.3929151102       -0.0066687372523878     0.2005420918367347
263430.7557504277       -0.005642777675097401   0.2285905612244898
263539.3656498838       -0.00461681809780695    0.2616581632653061
263657.6057933141       -0.0035908585205165     0.2986224489795918
263773.9055891271       -0.0025648989432261     0.3419961734693878
263891.6087963067       -0.0015389393659356499  0.393125
264043.3782026903       -0.0005129797886451999  0.4460140306122449
264223.4412497511       0.0005129797886451999   0.5001147959183674
264438.411533436        0.0015389393659356499   0.5529783163265306
264677.5102516077       0.0025648989432261      0.6054145408163265
264954.0464526602       0.0035908585205165      0.6539923469387755
265263.529981832        0.00461681809780695     0.6984821428571428
265598.4286680424       0.005642777675097401    0.7402168367346939
265965.9331912154       0.0066687372523878      0.7772576530612245
266357.5398459117       0.00769469682967825     0.8108992346938776
266759.6980967631       0.0087206564069687      0.8434375
267176.0838869539       0.0097466159842591      0.874266581632653
267623.6365464488       0.0107725755615495      0.9004591836734694
268103.7903318559       0.01179853513883995     0.9214540816326531
268598.9525838186       0.012824494716130399    0.9398341836734694
269118.4478423194       0.0138504542934208      0.9541836734693877
269662.1238112717       0.01487641387071125     0.9643813775510204
270206.2490956766       0.0159023734480017      0.9733035714285714
270752.1974785495       0.016928333025292102    0.980625
271299.6231639416       0.01795429260258255     0.9862691326530613
271844.9822668259       0.018980252179872998    0.9904783163265306
272383.7024636367       0.0200062117571634      0.9935969387755103
272911.5853206394       0.021032171334453852    0.9959630102040816
273425.4980634366       0.0220581309117443      0.9977742346938776
273927.0579587034       0.0230840904890347      0.9988584183673469
274412.3340990427       0.02411005006632515     0.9994579081632653
274877.8359698903       0.0251360096436156      0.9998405612244898
275323.557596329        0.026161969220906       1.0
275748.5751335748       0.02718792879819645     1.0
276151.1512254544       0.028213888375486898    1.0
276531.9564543035       0.029239847952777297    1.0
276891.8689831701       0.030265807530067697    1.0
277231.9391138078       0.03129176710735815     1.0
277553.3343214166       0.0323177266846486      1.0
277857.2761926248       0.033343686261939       1.0
278144.9837918633       0.03436964583922945     1.0
278417.6325947997       0.0353956054165199      1.0
278676.33022801         0.036421564993810294    1.0
278922.1054911421       0.03744752457110075     1.0
279155.9061196637       0.0384734841483912      1.0
279378.6014401531       0.0394994437256816      1.0
279590.9873094744       0.04052540330297206     1.0
279793.7917808657       0.0415513628802625      1.0
